Title,Price,Operating system,Display diagonal,Memory,Main Camera,Front Camera,Delivery,Manufacturer,Manufacturer's country,Features
Смартфон Vivo V20 Sunset Melody,139 890 ₸,2,128 GB,64 Mpx + 8 Mpx + 2 Mpx,44 Mpx,"Поддержка 4G, Тройная камера",бесплатно,Vivo,Китай,AG матовая поверхность
Смартфон Vivo V20SE Gravity Black,124 990 ₸,Android 10,"6,44″ - 16,4 см",128 GB,48 Mpx + 2 Mpx + 2 Mpx,16 Mpx,бесплатно,Vivo,Китай,AG матовая поверхность
Смартфон Vivo V20SE Oxygen Blue,124 990 ₸,Android 10,"6,44″ - 16,4 см",128 GB,48 Mpx + 2 Mpx + 2 Mpx,16 Mpx,бесплатно,Vivo,Китай,AG матовая поверхность
Смартфон Vivo V21 Dusk Blue,169 090 ₸,Android 11,"6,44″ - 16,4 см",128 GB,64 Mpx + 8 Mpx + 2 Mpx,44 Mpx,бесплатно,Vivo,Китай,AG матовая поверхность
Смартфон Vivo V21 Sunset Dazzle,169 090 ₸,Android 11,"6,44″ - 16,4 см",128 GB,64 Mpx + 8 Mpx + 2 Mpx,44 Mpx,бесплатно,Vivo,Китай,AG матовая поверхность
Смартфон Vivo V21e Diamond Flare,139 090 ₸,Android 11,"6,44″ - 16,4 см",128 GB,64 Mpx + 8 Mpx + 2 Mpx,44 Mpx,бесплатно,Vivo,Китай,AG матовая поверхность
Смартфон Vivo V21e Roman Black,138 990 ₸,Android 11,"6,44″ - 16,4 см",128 GB,64 Mpx + 8 Mpx + 2 Mpx,44 Mpx,бесплатно,Vivo,Китай,AG матовая поверхность
Смартфон Vivo X50 Frost Blue,229 990 ₸,Android,128 GB,48 Mpx + 13 Mpx + 8 Mpx + 5 Mpx,32 Mpx,"Датчик отпечатков пальцев, Поддержка 4G, Тройная камера",бесплатно,Vivo,Китай,
Смартфон Vivo X50 Glaze Black,229 990 ₸,Android,"6,56″ - 16,6 см",128 GB,48 Mpx + 13 Mpx + 8 Mpx + 5 Mpx,32 Mpx,бесплатно,Vivo,Китай,"Вспышка основной камеры, подсветка для селфи"
Смартфон Vivo X60 Pro Blue,369 990 ₸,Android 11,"6,56″ - 16,6 см",256 GB,48 Mpx + 13 Mpx + 13 Mpx,32 Mpx,бесплатно,Vivo,Китай,"Профессиональная стабилизация, гибридная оперативная память"
Смартфон Vivo Y12s Nebula Blue,64 990 ₸,Android 10,"6,5″ - 16,51 см",32 GB,13 Mpx + 2 Mpx,8 Мп,бесплатно,Vivo,Китай,"Halo fullviewОЗУ 3ГБ, ПЗУ 32ГБ (расширение до 256ГБ)5000 мАч с реверсивной зарядкойСканер отпечатков в боковой кнопке блокировки"
Смартфон Vivo Y12s Phantom Black,64 990 ₸,Android 10,"6,5″ - 16,51 см",32 GB,13 Mpx + 2 Mpx,8 Мп,бесплатно,Vivo,Китай,"Halo fullviewОЗУ 3ГБ, ПЗУ 32ГБ (расширение до 256ГБ)5000 мАч с реверсивной зарядкойСканер отпечатков в боковой кнопке блокировки"
Смартфон Vivo Y1s Olive Black,59 990 ₸,Android 10,"6,23″ - 15,8 см",32 GB,13 Mpx,5 Mpx,бесплатно,Vivo,Китай,"Halo fullview (соотношение экрана к поверхности 88.6%)ОЗУ 2ГБ, ПЗУ 32ГБ (расширение до 256ГБ)4030 мАч с реверсивной зарядкой"
Смартфон Vivo Y1s Ripple Blue,59 990 ₸,Android 10,"6,23″ - 15,8 см",32 GB,13 Mpx,5 Mpx,бесплатно,Vivo,Китай,"Halo fullview (соотношение экрана к поверхности 88.6%)ОЗУ 2ГБ, ПЗУ 32ГБ (расширение до 256ГБ)4030 мАч с реверсивной зарядкой"
Смартфон Vivo Y20 Nebula Blue,79 990 ₸,Android 10,"6,5″ - 16,51 см",64 GB,13 Mpx + 2Mpx + 2Mpx,8 Mpx,бесплатно,Vivo,Китай,"Waterdrop дисплей c высокой четкости и удлиненным соотношением сторон 20:9, 5000 мАч с реверсивной зарядкой"
Смартфон Vivo Y20 Obsidian Black,79 990 ₸,Android 10,"6,5″ - 16,51 см",64 GB,13 Mpx + 2Mpx + 2Mpx,8 Mpx,бесплатно,Vivo,Китай,"Waterdrop дисплей c высокой четкости и удлиненным соотношением сторон 20:9, 5000 мАч с реверсивной зарядкой"
