Title,Price in Tenge,Operating system,Display diagonal,Memory(GB),Main Camera,Front Camera,Delivery,Manufacturer,Features,Color
"Смартфон Xiaomi Redmi 9T, 64GB (Ocean Green)",79990,Android,"6.53""",64Гб,"4 камеры, 48+8+2+2",8,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2340x1080, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:Redmi 9T, Цвет передней панели:чёрный, Серия смартфона:Redmi 9T, Автофокусировка:нет, Встроенная вспышка:есть, ",зеленый
"Смартфон Realme C21Y (4/64), Black",69990,Android 10,"6.5""",64Гб,13,5,бесплатно,RealMe,"Количество SIM-карт:2 SIM, Разрешение экрана:1600x720, Технология изготовления экрана:IPS , Датчики:gps, Тип устройства / товара:смартфон, Модель:C21Y, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:есть, ",чёрный
"Смартфон Xiaomi Redmi 10 4/128GB, Carbon Gray",99990,Android,"6.5""",128Гб,50,8,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:Redmi 10, Цвет передней панели:чёрный, Серия смартфона:Redmi 10, Автофокусировка:нет, Встроенная вспышка:нет, ",серый
"Смартфон Xiaomi Redmi 10 4/128GB, Sea Blue",99990,Android,"6.5""",128Гб,50,8,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:Redmi 10, Цвет передней панели:чёрный, Серия смартфона:Redmi 10, Автофокусировка:нет, Встроенная вспышка:нет, ",голубой
"Смартфон Samsung Galaxy A03s 32GB, Black",54890,Android 11,"6.5""",32Гб,13 + 2 + 2,5,бесплатно,Samsung,"Разрешение экрана:1600x720, Технология изготовления экрана:LCD, Количество мегапикселей основной камеры (Мп):13 + 2 + 2, Количество мегапикселей фронтальной камеры (Мп):5, Беспроводная зарядка:Нет, Тип устройства / товара:смартфон, Модель:A03s, Цвет передней панели:чёрный, Серия смартфона:Galaxy A03s, Автофокусировка:нет, Встроенная вспышка:есть, ",чёрный
"Смартфон Samsung Galaxy A12 64GB NEW, Red",79890,Android 11,"6.5""",64Гб,48.0 MП,8.0 МП,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:720 X 1600, Технология изготовления экрана:TFT, Датчики:gps, Тип устройства / товара:смартфон, Модель:A12 NEW, Цвет передней панели:чёрный, Серия смартфона:A12 New, Автофокусировка:нет, Встроенная вспышка:есть, ",красный
"Смартфон Samsung Galaxy A03s 64GB, Black",64890,Android 11,"6.5""",64Гб,13 + 2 + 2,5,бесплатно,Samsung,"Разрешение экрана:1600x720, Технология изготовления экрана:LCD, Количество мегапикселей основной камеры (Мп):13 + 2 + 2, Количество мегапикселей фронтальной камеры (Мп):5, Беспроводная зарядка:Нет, Тип устройства / товара:смартфон, Модель:A03s, Цвет передней панели:чёрный, Серия смартфона:Galaxy A03s, Автофокусировка:нет, Встроенная вспышка:есть, ",чёрный
"Смартфон Samsung Galaxy A03s 32GB, White",54890,Android 11,"6.5""",32Гб,13 + 2 + 2,5,бесплатно,Samsung,"Разрешение экрана:1600x720, Технология изготовления экрана:LCD, Количество мегапикселей основной камеры (Мп):13 + 2 + 2, Количество мегапикселей фронтальной камеры (Мп):5, Беспроводная зарядка:Нет, Тип устройства / товара:смартфон, Модель:A03s, Цвет передней панели:чёрный, Серия смартфона:Galaxy A03s, Автофокусировка:нет, Встроенная вспышка:есть, ",белый
"Смартфон Galaxy Z Fold 3 256GB, Phantom Black",899890,Android 11,"7.6""",256Гб,12МП Широкоугольная; 12МП Ультраширокоугольная; 12МП Телеобъектив,10МП фронтальная камера на внешнем экране; 4МП подэкранная фронтальная камера на основном экране,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:1768x2208, Технология изготовления экрана:Dynamic AMOLED 2X, Датчики:gps, Количество мегапикселей основной камеры (Мп):12МП Широкоугольная; 12МП Ультраширокоугольная; 12МП Телеобъектив, Тип устройства / товара:смартфон, Модель:Galaxy Z Fold 3, Цвет передней панели:чёрный, Серия смартфона:Galaxy Z Fold 3, Автофокусировка:нет, Встроенная вспышка:есть, ",чёрный
"Смартфон Xiaomi Redmi 9C 32GB, Twilight Blue",59990,Android 10,"6.53""",32Гб,13 + 2 + 2,5,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:1600x720, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Redmi 9C, Цвет передней панели:чёрный, Серия смартфона:Redmi 9C, Автофокусировка:нет, Встроенная вспышка:нет, ",синий
"Смартфон Samsung Galaxy A03s 32GB, Blue",54890,Android 11,"6.5""",32Гб,13 + 2 + 2,5,бесплатно,Samsung,"Разрешение экрана:1600x720, Технология изготовления экрана:LCD, Количество мегапикселей основной камеры (Мп):13 + 2 + 2, Количество мегапикселей фронтальной камеры (Мп):5, Беспроводная зарядка:Нет, Тип устройства / товара:смартфон, Модель:A03s, Цвет передней панели:чёрный, Серия смартфона:Galaxy A03s, Автофокусировка:нет, Встроенная вспышка:есть, ",голубой
"Смартфон Samsung Galaxy A12 64GB NEW, Blue",79890,Android 11,"6.5""",64Гб,48.0 MП,8.0 МП,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:720 X 1600, Технология изготовления экрана:TFT, Датчики:gps, Тип устройства / товара:смартфон, Модель:A12 NEW, Цвет передней панели:чёрный, Серия смартфона:A12 New, Автофокусировка:нет, Встроенная вспышка:есть, ",голубой
"Смартфон Xiaomi Redmi 9C 32GB, Midnight Gray",59990,Android 10,"6.53""",32Гб,13 + 2 + 2,5,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:1600x720, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Redmi 9C, Цвет передней панели:чёрный, Серия смартфона:Redmi 9C, Автофокусировка:нет, Встроенная вспышка:нет, ",чёрный
"Смартфон Galaxy Z Fold 3 256GB, Phantom Green",899890,Android 11,"7.6""",256Гб,12МП Широкоугольная; 12МП Ультраширокоугольная; 12МП Телеобъектив,10МП фронтальная камера на внешнем экране; 4МП подэкранная фронтальная камера на основном экране,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:1768x2208, Технология изготовления экрана:Dynamic AMOLED 2X, Датчики:gps, Количество мегапикселей основной камеры (Мп):12МП Широкоугольная; 12МП Ультраширокоугольная; 12МП Телеобъектив, Тип устройства / товара:смартфон, Модель:Galaxy Z Fold 3, Цвет передней панели:зеленый, Серия смартфона:Galaxy Z Fold 3, Автофокусировка:нет, Встроенная вспышка:есть, ",зеленый
"Смартфон Samsung Galaxy A12 64GB NEW, Black",79890,Android 11,"6.5""",64Гб,48.0 MП,8.0 МП,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:720 X 1600, Технология изготовления экрана:TFT, Датчики:gps, Тип устройства / товара:смартфон, Модель:A12 NEW, Цвет передней панели:чёрный, Серия смартфона:A12 New, Автофокусировка:нет, Встроенная вспышка:есть, ",чёрный
"Смартфон Galaxy Z Fold 3 256GB, Phantom Silver",899890,Android 11,"7.6""",256Гб,12МП Широкоугольная; 12МП Ультраширокоугольная; 12МП Телеобъектив,10МП фронтальная камера на внешнем экране; 4МП подэкранная фронтальная камера на основном экране,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:1768x2208, Технология изготовления экрана:Dynamic AMOLED 2X, Датчики:gps, Количество мегапикселей основной камеры (Мп):12МП Широкоугольная; 12МП Ультраширокоугольная; 12МП Телеобъектив, Тип устройства / товара:смартфон, Модель:Galaxy Z Fold 3, Цвет передней панели:серебристый, Серия смартфона:Galaxy Z Fold 3, Автофокусировка:нет, Встроенная вспышка:есть, ",серебристый
